cible,mediane,moyenne,borne_basse_68,borne_haute_68,borne_basse_95,borne_haute_95,scenario,horizon,distribution,annee_projetee,horizon_teste_backtest,n_tirages
INFLATION_CPI,2.495548834123568,1.8632728389128013,0.07338222127823912,3.2856770656117793,-3.168094989393944,3.9245867433921324,convergence_faible,1,bootstrap_empirique,2025,True,10000
SOBG,-2.5616921455884896,-2.7698110932402065,-3.9362228244386452,-0.13298218647045168,-6.976227743401516,0.30354280494292807,convergence_faible,1,bootstrap_empirique,2025,True,10000
DETTE_PUBLIQUE,59.86962102110017,60.37307328188449,57.32832269382066,67.38745403308175,48.35261922428411,68.11164990841921,convergence_faible,1,bootstrap_empirique,2025,True,10000
BALANCE_COURANTE,1.1974962983958082,1.6042538961828072,-1.9617598573167727,6.135726244439366,-2.4979387720721027,6.415892350835391,convergence_faible,1,bootstrap_empirique,2025,True,10000
TACH,8.681022604118692,8.677452153323568,7.911207940454071,9.264612483279357,6.422446113509599,10.271877571918601,convergence_faible,1,bootstrap_empirique,2025,True,10000
FBCF,24.729381733958824,24.602259498267056,22.512335989358604,26.736402423159586,19.65258663529823,27.772434398411967,convergence_faible,1,bootstrap_empirique,2025,True,10000
CROISSANCE_PIB,3.4778461717805627,3.4400480036678855,-1.1993685732797403,8.091960116448176,-5.779968937346983,12.3917019836361,convergence_faible,2,gaussienne,2026,True,10000
INFLATION_CPI,1.6379671904914341,1.6558099305662684,-1.0789198649127238,4.384421374896539,-3.643403978360032,7.042677246781298,convergence_faible,2,gaussienne,2026,True,10000
SOBG,-3.2907142414894546,-3.308370352398774,-6.071034174047022,-0.5870531648574028,-8.729317592102817,2.1590402390681436,convergence_faible,2,gaussienne,2026,True,10000
DETTE_PUBLIQUE,55.552786639840384,55.54884752576213,48.7975548356145,62.353467302827106,42.158782053160714,68.87618418392289,convergence_faible,2,gaussienne,2026,True,10000
BALANCE_COURANTE,-0.4269908677474726,-0.3421479369935685,-4.484717697554124,3.9023449592013897,-8.391431408859127,7.936647789616226,convergence_faible,2,gaussienne,2026,True,10000
TACH,8.832518834340787,8.837835924176803,7.662886680711492,10.007513398470905,6.544385664638196,11.155212253092893,convergence_faible,2,gaussienne,2026,True,10000
