cible,horizon,modele,bloc,baseline_comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,dm_pvalue_hln,dm_statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique
SOBG,5,elasticnet,interne,random_walk,6,1.4826135164624863,1.1433455110098096,1.9540602951802646,1.7148597074213334,1.0075099804175884,,,evalue,,non_calcule,0.33125693522686933,0.436591206975081,True
SOBG,5,elasticnet,finale,random_walk,4,4.241823220301879,3.9416719505953277,1.3341264375105308,1.1260826492632998,-3.9416719505953277,,,evalue,,non_calcule,0.8648621934147881,0.27201405082503644,True
SOBG,5,panel_avec_effets_fixes,interne,random_walk,6,2.7707776740602528,2.404438057041578,1.9540602951802646,1.7148597074213334,2.404438057041578,,,evalue,,non_calcule,0.6190684964846376,0.436591206975081,True
SOBG,5,panel_avec_effets_fixes,finale,random_walk,4,2.6202633040459182,2.5084501138340185,1.3341264375105308,1.1260826492632998,2.5084501138340185,,,evalue,,non_calcule,0.5342435435817515,0.27201405082503644,True
SOBG,5,panel_leave_one_country_out,interne,random_walk,6,2.828215962194446,2.400488381324854,1.9540602951802646,1.7148597074213334,2.400488381324854,,,evalue,,non_calcule,0.6319018013754554,0.436591206975081,True
SOBG,5,panel_leave_one_country_out,finale,random_walk,4,2.693832896110827,2.601928955907776,1.3341264375105308,1.1260826492632998,2.601928955907776,,,evalue,,non_calcule,0.5492435931965868,0.27201405082503644,True
DETTE_PUBLIQUE,1,elasticnet,interne,random_walk,14,4.746268649200645,3.574059192095539,4.144186978682999,2.8285714285714296,-1.3908595612232248,,,evalue,0.11035737515827915,calcule,0.08681442525321274,0.07580169545539847,False
DETTE_PUBLIQUE,1,elasticnet,finale,random_walk,4,4.246362902425523,3.563899193435251,2.2433234274174554,2.125,3.086693042840043,,,evalue,,non_calcule,0.06127507795707826,0.03237118942882331,True
DETTE_PUBLIQUE,1,panel_avec_effets_fixes,interne,random_walk,14,4.184986451623992,2.3324325674141515,4.144186978682999,2.8285714285714296,-1.5688644018961828,,,evalue,0.9516497229055829,calcule,0.07654796227166957,0.07580169545539847,False
DETTE_PUBLIQUE,1,panel_avec_effets_fixes,finale,random_walk,4,4.292054632042518,3.7315990959510863,2.2433234274174554,2.125,-0.4282090796520599,,,evalue,,non_calcule,0.061934410274783816,0.03237118942882331,False
DETTE_PUBLIQUE,1,panel_leave_one_country_out,interne,random_walk,14,3.828635903581357,2.334424188300764,4.144186978682999,2.8285714285714296,0.37992928088967914,,,evalue,0.3448977576271468,calcule,0.07002992245902666,0.07580169545539847,False
DETTE_PUBLIQUE,1,panel_leave_one_country_out,finale,random_walk,4,5.4191342198584005,4.0641203797502925,2.2433234274174554,2.125,2.7003987660885045,,,evalue,,non_calcule,0.07819818499074171,0.03237118942882331,False
DETTE_PUBLIQUE,2,elasticnet,interne,random_walk,12,8.356960322466884,7.6193082127968195,5.572850856309244,4.366666666666666,-6.77076834197027,,,evalue,0.02617047016841001,calcule,0.1482826022025767,0.09888246381149036,True
DETTE_PUBLIQUE,2,elasticnet,finale,random_walk,4,9.944051128381027,9.21584590901614,4.940394721072401,3.575000000000003,2.919413075346325,,,evalue,,non_calcule,0.1434928012753395,0.07128996711504187,False
DETTE_PUBLIQUE,2,panel_avec_effets_fixes,interne,random_walk,12,6.844376560171538,5.632752816746979,5.572850856309244,4.366666666666666,-5.632752816746979,,,evalue,0.17722710590580926,calcule,0.12144391353254246,0.09888246381149036,True
DETTE_PUBLIQUE,2,panel_avec_effets_fixes,finale,random_walk,4,6.952225818138909,5.254567898058996,4.940394721072401,3.575000000000003,-3.896014260675054,,,evalue,,non_calcule,0.10032071887646334,0.07128996711504187,True
DETTE_PUBLIQUE,2,panel_leave_one_country_out,interne,random_walk,12,4.586600733258955,3.448450873414607,5.572850856309244,4.366666666666666,-1.4071669213710443,,,evalue,0.21903833769417935,calcule,0.08138283128657026,0.09888246381149036,False
DETTE_PUBLIQUE,2,panel_leave_one_country_out,finale,random_walk,4,6.9190235037528325,5.475134803976596,4.940394721072401,3.575000000000003,0.955497455181229,,,evalue,,non_calcule,0.09984160900076237,0.07128996711504187,False
DETTE_PUBLIQUE,3,elasticnet,interne,random_walk,10,13.1903234864319,12.792633319654957,7.563398706930636,6.3100000000000005,-12.792633319654957,,,evalue,0.015458296050306686,calcule,0.22417273090468895,0.12854178631765184,True
DETTE_PUBLIQUE,3,elasticnet,finale,random_walk,4,21.949340339613773,19.660215666977113,7.374957626996922,6.300000000000004,-2.848321636912029,,,evalue,,non_calcule,0.3167292978299246,0.10642074497831057,False
DETTE_PUBLIQUE,3,panel_avec_effets_fixes,interne,random_walk,10,10.55316014219999,9.154764607269511,7.563398706930636,6.3100000000000005,-9.154764607269511,,,evalue,0.0646420518719697,calcule,0.1793535034364376,0.12854178631765184,True
DETTE_PUBLIQUE,3,panel_avec_effets_fixes,finale,random_walk,4,10.888597960126024,9.80462045333535,7.374957626996922,6.300000000000004,-7.2885532937365305,,,evalue,,non_calcule,0.15712262568724422,0.10642074497831057,True
DETTE_PUBLIQUE,3,panel_leave_one_country_out,interne,random_walk,10,7.711061359023277,7.170827879662156,7.563398706930636,6.3100000000000005,-2.2923828412403813,,,evalue,0.9003715034238222,calcule,0.13105134872575247,0.12854178631765184,False
DETTE_PUBLIQUE,3,panel_leave_one_country_out,finale,random_walk,4,9.940801197363129,8.284241650185924,7.374957626996922,6.300000000000004,-0.5252723078142605,,,evalue,,non_calcule,0.14344590472385468,0.10642074497831057,False
DETTE_PUBLIQUE,4,elasticnet,interne,random_walk,8,17.884038125440814,17.489547533402202,9.406713028470678,8.0625,-17.489547533402202,,,evalue,0.25046364068724736,calcule,0.29348165128928516,0.15436657277490343,True
DETTE_PUBLIQUE,4,elasticnet,finale,random_walk,4,16.765650080476178,16.433247853309783,8.550292392661207,8.225000000000005,-10.835370199475346,,,evalue,,non_calcule,0.24192857258984385,0.12338084260694383,True
